DWJZ,FSRQ,JZZZL,LJJZ
1.0080,2015-11-04,3.92,2.3680
0.9700,2015-11-03,-0.10,2.3300
0.9710,2015-11-02,-0.82,2.3310
0.9790,2015-10-30,0.00,2.3390
0.9790,2015-10-29,0.62,2.3390
0.9730,2015-10-28,-1.52,2.3330
0.9880,2015-10-27,0.10,2.3480
0.9870,2015-10-26,1.33,2.3470
0.9740,2015-10-23,1.67,2.3340
0.9580,2015-10-22,2.57,2.3180
0.9340,2015-10-21,-4.40,2.2940
0.9770,2015-10-20,1.98,2.3370
0.9580,2015-10-19,-1.03,2.3180
0.9680,2015-10-16,0.21,2.3280
0.9660,2015-10-15,2.33,2.3260
0.9440,2015-10-14,-0.94,2.3040
0.9530,2015-10-13,0.74,2.3130
0.9460,2015-10-12,3.16,2.3060
0.9170,2015-10-09,1.55,2.2770
0.9030,2015-10-08,4.03,2.2630
0.8680,2015-09-30,0.81,2.2280
0.8610,2015-09-29,-0.92,2.2210
0.8690,2015-09-28,1.76,2.2290
0.8540,2015-09-25,-3.06,2.2140
0.8810,2015-09-24,1.15,2.2410
0.8710,2015-09-23,-1.02,2.2310
0.8800,2015-09-22,0.57,2.2400
0.8750,2015-09-21,3.67,2.2350
0.8440,2015-09-18,0.96,2.2040
0.8360,2015-09-17,0.00,2.1960
0.8360,2015-09-16,6.36,2.1960
0.7860,2015-09-15,-2.84,2.1460
0.8090,2015-09-14,-5.71,2.1690
0.8580,2015-09-11,0.59,2.2180
0.8530,2015-09-10,-1.50,2.2130
0.8660,2015-09-09,3.34,2.2260
0.8380,2015-09-08,4.23,2.1980
0.8040,2015-09-07,0.37,2.1640
0.8010,2015-09-02,-1.35,2.1610
0.8120,2015-09-01,-5.25,2.1720
0.8570,2015-08-31,-3.05,2.2170
0.8840,2015-08-28,5.36,2.2440
0.8390,2015-08-27,4.09,2.1990
0.8060,2015-08-26,-2.07,2.1660
0.8230,2015-08-25,-6.16,2.1830
0.8770,2015-08-24,-7.00,2.2370
0.9430,2015-08-21,-4.55,2.3030
0.9880,2015-08-20,-2.76,2.3480
1.0160,2015-08-19,2.21,2.3760
0.9940,2015-08-18,-5.87,2.3540
1.0560,2015-08-17,0.76,2.4160
1.0480,2015-08-14,-0.29,2.4080
1.0510,2015-08-13,1.45,2.4110
1.0360,2015-08-12,-2.08,2.3960
1.0580,2015-08-11,0.28,2.4180
1.0550,2015-08-10,5.82,2.4150
0.9970,2015-08-07,3.64,2.3570
0.9620,2015-08-06,0.00,2.3220
0.9620,2015-08-05,-0.10,2.3220
0.9630,2015-08-04,6.53,2.3230
0.9040,2015-08-03,-5.14,2.2640
0.9530,2015-07-31,-0.42,2.3130
0.9570,2015-07-30,-2.74,2.3170
0.9840,2015-07-29,4.90,2.3440
0.9380,2015-07-28,-1.99,2.2980
0.9570,2015-07-27,-8.16,2.3170
1.0420,2015-07-24,-2.43,2.4020
1.0680,2015-07-23,3.19,2.4280
1.0350,2015-07-22,0.68,2.3950
1.0280,2015-07-21,1.18,2.3880
1.0160,2015-07-20,2.42,2.3760
0.9920,2015-07-17,6.10,2.3520
0.9350,2015-07-16,3.31,2.2950
0.9050,2015-07-15,-5.93,2.2650
0.9620,2015-07-14,0.73,2.3220
0.9550,2015-07-13,7.18,2.3150
0.8910,2015-07-10,6.83,2.2510
0.8340,2015-07-09,6.51,2.1940
0.7830,2015-07-08,-3.81,2.1430
0.8140,2015-07-07,-6.76,2.1740
0.8730,2015-07-06,-3.32,2.2330
0.9030,2015-07-03,-4.55,2.2630
0.9460,2015-07-02,-5.96,2.3060
1.0060,2015-07-01,-4.46,2.3660
1.0530,2015-06-30,4.67,2.4130
1.0060,2015-06-29,-7.11,2.3660
1.0830,2015-06-26,-8.99,2.4430
1.1900,2015-06-25,-5.18,2.5500
1.2550,2015-06-24,1.70,2.6150
1.2340,2015-06-23,2.07,2.5940
1.2090,2015-06-19,-5.18,2.5690
1.2750,2015-06-18,-4.28,2.6350
1.3320,2015-06-17,2.07,2.6920
1.3050,2015-06-16,-3.26,2.6650
1.3490,2015-06-15,-2.95,2.7090
1.3900,2015-06-12,0.36,2.7500
1.3850,2015-06-11,1.47,2.7450
1.3650,2015-06-10,2.86,2.7250
1.3270,2015-06-09,0.23,2.6870
1.3240,2015-06-08,-3.22,2.6840
1.3680,2015-06-05,0.51,2.7280
1.3610,2015-06-04,-1.59,2.7210
1.3830,2015-06-03,-0.43,2.7430
1.3890,2015-06-02,3.81,2.7490
1.3380,2015-06-01,5.52,2.6980
1.2680,2015-05-29,1.52,2.6280
1.2490,2015-05-28,-5.16,2.6090
1.3170,2015-05-27,1.31,2.6770
1.3000,2015-05-26,3.09,2.6600
1.2610,2015-05-25,1.94,2.6210
1.2370,2015-05-22,1.14,2.5970
1.2230,2015-05-21,3.38,2.5830
1.1830,2015-05-20,1.11,2.5430
1.1700,2015-05-19,2.18,2.5300
1.1450,2015-05-18,1.33,2.5050
1.1300,2015-05-15,-0.62,2.4900
1.1370,2015-05-14,-1.04,2.4970
1.1490,2015-05-13,0.44,2.5090
1.1440,2015-05-12,2.97,2.5040
1.1110,2015-05-11,4.71,2.4710
1.0610,2015-05-08,3.92,2.4210
1.0210,2015-05-07,-1.92,2.3810
1.0410,2015-05-06,0.19,2.4010
1.0390,2015-05-05,-2.26,2.3990
1.0630,2015-05-04,1.72,2.4230
1.0450,2015-04-30,0.58,2.4050
1.0390,2015-04-29,2.67,2.3990
1.0120,2015-04-28,-3.34,2.3720
1.0470,2015-04-27,-0.10,2.4070
1.0480,2015-04-24,0.00,2.4080
1.0480,2015-04-23,0.00,2.4080
1.0480,2015-04-22,1.85,2.4080
1.0290,2015-04-21,2.80,2.3890
1.0010,2015-04-20,-2.34,2.3610
1.0250,2015-04-17,1.28,2.3850
1.0120,2015-04-16,0.90,2.3720
1.0030,2015-04-15,-3.28,2.3630
1.0370,2015-04-14,-0.48,2.3970
1.0420,2015-04-13,0.39,2.4020
1.0380,2015-04-10,2.06,2.3980
1.0170,2015-04-09,-1.36,2.3770
1.0310,2015-04-08,-1.25,2.3910
1.0440,2015-04-07,2.05,2.4040
1.0230,2015-04-03,1.59,2.3830
1.0070,2015-04-02,0.70,2.3670
1.0000,2015-04-01,1.63,2.3600
0.9840,2015-03-31,0.10,2.3440
0.9830,2015-03-30,2.08,2.3430
0.9630,2015-03-27,1.90,2.3230
0.9450,2015-03-26,-0.42,2.3050
0.9490,2015-03-25,0.85,2.3090
0.9410,2015-03-24,1.07,2.3010
0.9310,2015-03-23,2.87,2.2910
0.9050,2015-03-20,2.61,2.2650
0.8820,2015-03-19,-1.01,2.2420
0.8910,2015-03-18,1.83,2.2510
0.8750,2015-03-17,0.23,2.2350
0.8730,2015-03-16,2.83,2.2330
0.8490,2015-03-13,1.07,2.2090
0.8400,2015-03-12,2.07,2.2000
0.8230,2015-03-11,0.00,2.1830
0.8230,2015-03-10,0.24,2.1830
0.8210,2015-03-09,1.48,2.1810
0.8090,2015-03-06,-2.18,2.1690
0.8270,2015-03-05,-0.60,2.1870
0.8320,2015-03-04,0.60,2.1920
0.8270,2015-03-03,-2.25,2.1870
0.8460,2015-03-02,1.44,2.2060
0.8340,2015-02-27,1.21,2.1940
0.8240,2015-02-26,1.10,2.1840
0.8150,2015-02-25,-1.45,2.1750
0.8270,2015-02-17,0.73,2.1870
0.8210,2015-02-16,1.48,2.1810
0.8090,2015-02-13,1.38,2.1690
0.7980,2015-02-12,0.38,2.1580
0.7950,2015-02-11,1.53,2.1550
0.7830,2015-02-10,1.69,2.1430
0.7700,2015-02-09,0.13,2.1300
0.7690,2015-02-06,-1.03,2.1290
0.7770,2015-02-05,-1.02,2.1370
0.7850,2015-02-04,-1.01,2.1450
0.7930,2015-02-03,2.72,2.1530
0.7720,2015-02-02,-1.53,2.1320
0.7840,2015-01-30,-1.01,2.1440
0.7920,2015-01-29,-0.88,2.1520
0.7990,2015-01-28,-1.24,2.1590
0.8090,2015-01-27,-1.10,2.1690
0.8180,2015-01-26,0.49,2.1780
0.8140,2015-01-23,0.12,2.1740
0.8130,2015-01-22,0.99,2.1730
0.8050,2015-01-21,4.27,2.1650
0.7720,2015-01-20,1.85,2.1320
0.7580,2015-01-19,-4.29,2.1180
0.7920,2015-01-16,0.76,2.1520
0.7860,2015-01-15,2.88,2.1460
0.7640,2015-01-14,-0.39,2.1240
0.7670,2015-01-13,0.66,2.1270
0.7620,2015-01-12,0.00,2.1220
0.7620,2015-01-09,0.66,2.1220
0.7570,2015-01-08,-1.82,2.1170
0.7710,2015-01-07,-0.26,2.1310
0.7730,2015-01-06,-0.26,2.1330
0.7750,2015-01-05,1.97,2.1350
0.7600,2014-12-31,2.98,2.1200
0.7380,2014-12-30,-0.40,2.0980
0.7410,2014-12-29,1.09,2.1010
0.7330,2014-12-26,2.66,2.0930
0.7140,2014-12-25,2.00,2.0740
0.7000,2014-12-24,-1.41,2.0600
0.7100,2014-12-23,-0.42,2.0700
0.7130,2014-12-22,-0.70,2.0730
0.7180,2014-12-19,-2.18,2.0780
0.7340,2014-12-18,-0.41,2.0940
0.7370,2014-12-17,0.27,2.0970
0.7350,2014-12-16,1.24,2.0950
0.7260,2014-12-15,0.55,2.0860
0.7220,2014-12-12,0.28,2.0820
0.7200,2014-12-11,-0.41,2.0800
0.7230,2014-12-10,3.43,2.0830
0.6990,2014-12-09,-5.67,2.0590
0.7410,2014-12-08,0.27,2.1010
0.7390,2014-12-05,-2.12,2.0990
0.7550,2014-12-04,1.21,2.1150
0.7460,2014-12-03,1.08,2.1060
0.7380,2014-12-02,0.96,2.0980
0.7310,2014-12-01,-1.88,2.0910
0.7450,2014-11-28,-0.93,2.1050
0.7520,2014-11-27,0.40,2.1120
0.7490,2014-11-26,0.40,2.1090
0.7460,2014-11-25,1.22,2.1060
0.7370,2014-11-24,0.68,2.0970
0.7320,2014-11-21,0.55,2.0920
0.7280,2014-11-20,-0.14,2.0880
0.7290,2014-11-19,0.69,2.0890
0.7240,2014-11-18,0.28,2.0840
0.7220,2014-11-17,1.12,2.0820
0.7140,2014-11-14,0.00,2.0740
0.7140,2014-11-13,-1.65,2.0740
0.7260,2014-11-12,1.11,2.0860
0.7180,2014-11-11,-3.23,2.0780
0.7420,2014-11-10,0.00,2.1020
0.7420,2014-11-07,-1.20,2.1020
0.7510,2014-11-06,0.94,2.1110
0.7440,2014-11-05,-0.40,2.1040
0.7470,2014-11-04,-0.80,2.1070
0.7530,2014-11-03,0.67,2.1130
0.7480,2014-10-31,-0.53,2.1080
0.7520,2014-10-30,-0.27,2.1120
0.7540,2014-10-29,0.94,2.1140
0.7470,2014-10-28,1.91,2.1070
0.7330,2014-10-27,0.83,2.0930
0.7270,2014-10-24,0.14,2.0870
0.7260,2014-10-23,-0.96,2.0860
0.7330,2014-10-22,-1.08,2.0930
0.7410,2014-10-21,-0.54,2.1010
0.7450,2014-10-20,1.36,2.1050
0.7350,2014-10-17,0.00,2.0950
0.7350,2014-10-16,-1.47,2.0950
0.7460,2014-10-15,0.13,2.1060
0.7450,2014-10-14,-0.53,2.1050
0.7490,2014-10-13,-0.27,2.1090
0.7510,2014-10-10,-0.66,2.1110
0.7560,2014-10-09,-0.26,2.1160
0.7580,2014-10-08,0.93,2.1180
0.7510,2014-09-30,0.81,2.1110
0.7450,2014-09-29,0.81,2.1050
0.7390,2014-09-26,0.41,2.0990
0.7360,2014-09-25,0.27,2.0960
0.7340,2014-09-24,0.96,2.0940
0.7270,2014-09-23,0.69,2.0870
0.7220,2014-09-22,-0.96,2.0820
0.7290,2014-09-19,0.83,2.0890
0.7230,2014-09-18,0.42,2.0830
0.7200,2014-09-17,0.70,2.0800
0.7150,2014-09-16,-3.38,2.0750
0.7400,2014-09-15,0.96,2.1000
0.7330,2014-09-12,1.66,2.0930
0.7210,2014-09-11,0.14,2.0810
0.7200,2014-09-10,0.56,2.0800
0.7160,2014-09-09,0.28,2.0760
0.7140,2014-09-05,0.71,2.0740
0.7090,2014-09-04,0.57,2.0690
0.7050,2014-09-03,0.43,2.0650
0.7020,2014-09-02,1.15,2.0620
0.6940,2014-09-01,1.31,2.0540
0.6850,2014-08-29,0.88,2.0450
0.6790,2014-08-28,-0.59,2.0390
0.6830,2014-08-27,0.15,2.0430
0.6820,2014-08-26,-1.30,2.0420
0.6910,2014-08-25,-0.43,2.0510
0.6940,2014-08-22,0.58,2.0540
0.6900,2014-08-21,0.00,2.0500
0.6900,2014-08-20,-0.14,2.0500
0.6910,2014-08-19,-0.14,2.0510
0.6920,2014-08-18,0.44,2.0520
0.6890,2014-08-15,0.88,2.0490
0.6830,2014-08-14,-1.16,2.0430
0.6910,2014-08-13,-0.43,2.0510
0.6940,2014-08-12,-0.14,2.0540
0.6950,2014-08-11,1.76,2.0550
0.6830,2014-08-08,0.29,2.0430
0.6810,2014-08-07,-1.16,2.0410
0.6890,2014-08-06,0.29,2.0490
0.6870,2014-08-05,0.15,2.0470
0.6860,2014-08-04,0.88,2.0460
0.6800,2014-08-01,-0.58,2.0400
0.6840,2014-07-31,0.89,2.0440
0.6780,2014-07-30,-0.29,2.0380
0.6800,2014-07-29,0.30,2.0400
0.6780,2014-07-28,1.19,2.0380
0.6700,2014-07-25,0.90,2.0300
0.6640,2014-07-24,-0.30,2.0240
0.6660,2014-07-23,-0.75,2.0260
0.6710,2014-07-22,1.21,2.0310
0.6630,2014-07-21,0.15,2.0230
0.6620,2014-07-18,-0.15,2.0220
0.6630,2014-07-17,-0.45,2.0230
0.6660,2014-07-16,-0.60,2.0260
0.6700,2014-07-15,-0.30,2.0300
0.6720,2014-07-14,1.20,2.0320
0.6640,2014-07-11,0.45,2.0240
0.6610,2014-07-10,-0.30,2.0210
0.6630,2014-07-09,-1.49,2.0230
0.6730,2014-07-08,0.30,2.0330
0.6710,2014-07-07,-0.30,2.0310
0.6730,2014-07-04,-0.15,2.0330
0.6740,2014-07-03,0.30,2.0340
0.6720,2014-07-02,0.30,2.0320
0.6700,2014-07-01,-0.15,2.0300
0.6710,2014-06-30,0.90,2.0310
0.6650,2014-06-27,0.30,2.0250
0.6630,2014-06-26,0.91,2.0230
0.6570,2014-06-25,-0.15,2.0170
0.6580,2014-06-24,0.77,2.0180
0.6530,2014-06-23,0.15,2.0130
0.6520,2014-06-20,0.93,2.0120
0.6460,2014-06-19,-1.52,2.0060
0.6560,2014-06-18,-0.46,2.0160
0.6590,2014-06-17,-1.20,2.0190
0.6670,2014-06-16,0.30,2.0270
0.6650,2014-06-13,0.91,2.0250
0.6590,2014-06-12,-0.15,2.0190
0.6600,2014-06-11,0.00,2.0200
0.6600,2014-06-10,0.92,2.0200
0.6540,2014-06-09,-0.46,2.0140
0.6570,2014-06-06,0.00,2.0170
0.6570,2014-06-05,0.77,2.0170
0.6520,2014-06-04,-0.31,2.0120
0.6540,2014-06-03,-0.15,2.0140
0.6550,2014-05-30,0.00,2.0150
0.6550,2014-05-29,-0.91,2.0150
0.6610,2014-05-28,0.61,2.0210
0.6570,2014-05-27,-0.30,2.0170
0.6590,2014-05-26,0.92,2.0190
0.6530,2014-05-23,0.62,2.0130
0.6490,2014-05-22,0.31,2.0090
0.6470,2014-05-21,0.78,2.0070
0.6420,2014-05-20,0.47,2.0020
0.6390,2014-05-19,-0.78,1.9990
0.6440,2014-05-16,-0.77,2.0040
0.6490,2014-05-15,-1.07,2.0090
0.6560,2014-05-14,0.15,2.0160
0.6550,2014-05-13,-0.15,2.0150
0.6560,2014-05-12,1.55,2.0160
0.6460,2014-05-09,-0.77,2.0060
0.6510,2014-05-08,-0.31,2.0110
0.6530,2014-05-07,-1.36,2.0130
0.6620,2014-05-06,0.76,2.0220
0.6570,2014-05-05,0.77,2.0170
0.6520,2014-04-30,0.46,2.0120
0.6490,2014-04-29,1.09,2.0090
0.6420,2014-04-28,-2.28,2.0020
0.6570,2014-04-25,-1.79,2.0170
0.6690,2014-04-24,-0.30,2.0290
0.6710,2014-04-23,-0.89,2.0310
0.6770,2014-04-22,-0.88,2.0370
0.6830,2014-04-21,-0.87,2.0430
0.6890,2014-04-18,0.15,2.0490
0.6880,2014-04-17,0.15,2.0480
0.6870,2014-04-16,0.00,2.0470
0.6870,2014-04-15,-1.01,2.0470
0.6940,2014-04-14,0.73,2.0540
0.6890,2014-04-11,-0.29,2.0490
0.6910,2014-04-10,1.17,2.0510
0.6830,2014-04-09,0.59,2.0430
0.6790,2014-04-08,0.15,2.0390
0.6780,2014-04-04,0.59,2.0380
0.6740,2014-04-03,-0.15,2.0340
0.6750,2014-04-02,-0.59,2.0350
0.6790,2014-04-01,1.65,2.0390
0.6680,2014-03-31,0.15,2.0280
0.6670,2014-03-28,-2.06,2.0270
0.6810,2014-03-27,-2.01,2.0410
0.6950,2014-03-26,1.02,2.0550
0.6880,2014-03-25,0.00,2.0480
0.6880,2014-03-24,-0.29,2.0480
0.6900,2014-03-21,0.29,2.0500
0.6880,2014-03-20,-3.91,2.0480
0.7160,2014-03-19,-1.11,2.0760
0.7240,2014-03-18,0.56,2.0840
0.7200,2014-03-17,1.84,2.0800
0.7070,2014-03-14,-0.70,2.0670
0.7120,2014-03-13,2.15,2.0720
0.6970,2014-03-12,0.29,2.0570
0.6950,2014-03-11,-1.00,2.0550
0.7020,2014-03-10,-3.31,2.0620
0.7260,2014-03-07,-0.27,2.0860
0.7280,2014-03-06,-0.82,2.0880
0.7340,2014-03-05,-0.41,2.0940
0.7370,2014-03-04,0.00,2.0970
0.7370,2014-03-03,1.80,2.0970
0.7240,2014-02-28,1.40,2.0840
0.7140,2014-02-27,-3.38,2.0740
0.7390,2014-02-26,-0.40,2.0990
0.7420,2014-02-25,-3.76,2.1020
0.7710,2014-02-24,0.52,2.1310
0.7670,2014-02-21,-0.39,2.1270
0.7700,2014-02-20,-1.53,2.1300
0.7820,2014-02-19,-0.51,2.1420
0.7860,2014-02-18,-0.63,2.1460
0.7910,2014-02-17,2.06,2.1510
0.7750,2014-02-14,1.97,2.1350
0.7600,2014-02-13,-3.06,2.1200
0.7840,2014-02-12,-0.38,2.1440
0.7870,2014-02-11,-1.13,2.1470
0.7960,2014-02-10,2.18,2.1560
0.7790,2014-02-07,1.04,2.1390
0.7710,2014-01-30,0.00,2.1310
0.7710,2014-01-29,1.85,2.1310
0.7570,2014-01-28,-0.26,2.1170
0.7590,2014-01-27,-0.52,2.1190
0.7630,2014-01-24,0.66,2.1230
0.7580,2014-01-23,0.93,2.1180
0.7510,2014-01-22,1.76,2.1110
0.7380,2014-01-21,1.93,2.0980
0.7240,2014-01-20,-1.50,2.0840
0.7350,2014-01-17,-1.47,2.0950
0.7460,2014-01-16,-0.93,2.1060
0.7530,2014-01-15,0.67,2.1130
0.7480,2014-01-14,1.91,2.1080
0.7340,2014-01-13,0.14,2.0940
0.7330,2014-01-10,-0.95,2.0930
0.7400,2014-01-09,-1.20,2.1000
0.7490,2014-01-08,1.49,2.1090
0.7380,2014-01-07,1.10,2.0980
0.7300,2014-01-06,-2.14,2.0900
0.7460,2014-01-03,-0.53,2.1060
0.7500,2014-01-02,0.40,2.1100
0.7470,2013-12-31,0.81,2.1070
0.7410,2013-12-30,0.54,2.1010
0.7370,2013-12-27,1.24,2.0970
0.7280,2013-12-26,-1.62,2.0880
0.7400,2013-12-25,0.82,2.1000
0.7340,2013-12-24,0.41,2.0940
0.7310,2013-12-23,0.41,2.0910
0.7280,2013-12-20,-1.09,2.0880
0.7360,2013-12-19,-0.27,2.0960
0.7380,2013-12-18,0.00,2.0980
0.7380,2013-12-17,-0.40,2.0980
0.7410,2013-12-16,-1.72,2.1010
0.7540,2013-12-13,0.53,2.1140
0.7500,2013-12-12,0.13,2.1100
0.7490,2013-12-11,-0.79,2.1090
0.7550,2013-12-10,0.13,2.1150
0.7540,2013-12-09,0.94,2.1140
0.7470,2013-12-06,-0.40,2.1070
0.7500,2013-12-05,0.00,2.1100
0.7500,2013-12-04,1.35,2.1100
0.7400,2013-12-03,1.79,2.1000
0.7270,2013-12-02,-3.20,2.0870
0.7510,2013-11-29,0.40,2.1110
0.7480,2013-11-28,0.94,2.1080
0.7410,2013-11-27,0.41,2.1010
0.7380,2013-11-26,0.41,2.0980
0.7350,2013-11-25,-0.14,2.0950
0.7360,2013-11-22,-0.27,2.0960
0.7380,2013-11-21,-0.27,2.0980
0.7400,2013-11-20,0.68,2.1000
0.7350,2013-11-19,0.41,2.0950
0.7320,2013-11-18,1.95,2.0920
0.7180,2013-11-15,1.56,2.0780
0.7070,2013-11-14,0.86,2.0670
0.7010,2013-11-13,-1.82,2.0610
0.7140,2013-11-12,0.56,2.0740
0.7100,2013-11-11,0.57,2.0700
0.7060,2013-11-08,-1.53,2.0660
0.7170,2013-11-07,-1.51,2.0770
0.7280,2013-11-06,-1.09,2.0880
0.7360,2013-11-05,1.24,2.0960
0.7270,2013-11-04,0.41,2.0870
0.7240,2013-11-01,-0.55,2.0840
0.7280,2013-10-31,-3.06,2.0880
0.7510,2013-10-30,1.49,2.1110
0.7400,2013-10-29,-0.27,2.1000
0.7420,2013-10-28,1.09,2.1020
0.7340,2013-10-25,-3.04,2.0940
0.7570,2013-10-24,-0.66,2.1170
0.7620,2013-10-23,-4.51,2.1220
0.7980,2013-10-22,-3.27,2.1580
0.8250,2013-10-21,3.13,2.1850
0.8000,2013-10-18,2.30,2.1600
0.7820,2013-10-17,-1.14,2.1420
0.7910,2013-10-16,-2.10,2.1510
0.8080,2013-10-15,-1.10,2.1680
0.8170,2013-10-14,1.11,2.1770
0.8080,2013-10-11,1.38,2.1680
0.7970,2013-10-10,-2.09,2.1570
0.8140,2013-10-09,0.74,2.1740
0.8080,2013-10-08,1.13,2.1680
0.7990,2013-09-30,3.23,2.1590
0.7740,2013-09-27,0.78,2.1340
0.7680,2013-09-26,-1.41,2.1280
0.7790,2013-09-25,-1.27,2.1390
0.7890,2013-09-24,0.77,2.1490
0.7830,2013-09-23,2.89,2.1430
0.7610,2013-09-18,1.74,2.1210
0.7480,2013-09-17,-1.19,2.1080
0.7570,2013-09-16,1.07,2.1170
0.7490,2013-09-13,1.77,2.1090
0.7360,2013-09-12,0.55,2.0960
0.7320,2013-09-11,-2.66,2.0920
0.7520,2013-09-10,-1.18,2.1120
0.7610,2013-09-09,-0.39,2.1210
0.7640,2013-09-06,0.53,2.1240
0.7600,2013-09-05,1.60,2.1200
0.7480,2013-09-04,0.27,2.1080
0.7460,2013-09-03,1.77,2.1060
0.7330,2013-09-02,1.81,2.0930
0.7200,2013-08-30,-2.57,2.0800
0.7390,2013-08-29,-0.14,2.0990
0.7400,2013-08-28,-1.73,2.1000
0.7530,2013-08-27,0.00,2.1130
0.7530,2013-08-26,1.48,2.1130
0.7420,2013-08-23,0.54,2.1020
0.7380,2013-08-22,0.55,2.0980
0.7340,2013-08-21,0.00,2.0940
0.7340,2013-08-20,-0.14,2.0940
0.7350,2013-08-19,1.80,2.0950
0.7220,2013-08-16,-1.90,2.0820
0.7360,2013-08-15,-1.08,2.0960
0.7440,2013-08-14,0.00,2.1040
0.7440,2013-08-13,-0.13,2.1040
0.7450,2013-08-12,-0.27,2.1050
0.7470,2013-08-09,-0.66,2.1070
0.7520,2013-08-08,0.40,2.1120
0.7490,2013-08-07,-1.71,2.1090
0.7620,2013-08-06,0.66,2.1220
0.7570,2013-08-05,1.61,2.1170
0.7450,2013-08-02,0.54,2.1050
0.7410,2013-08-01,2.92,2.1010
0.7200,2013-07-31,0.28,2.0800
0.7180,2013-07-30,-1.10,2.0780
0.7260,2013-07-29,-2.42,2.0860
0.7440,2013-07-26,0.00,2.1040
0.7440,2013-07-25,-2.23,2.1040
0.7610,2013-07-24,0.79,2.1210
0.7550,2013-07-23,2.30,2.1150
0.7380,2013-07-22,1.10,2.0980
0.7300,2013-07-19,-1.75,2.0900
0.7430,2013-07-18,-0.54,2.1030
0.7470,2013-07-17,-1.19,2.1070
0.7560,2013-07-16,0.00,2.1160
0.7560,2013-07-15,2.44,2.1160
0.7380,2013-07-12,0.14,2.0980
0.7370,2013-07-11,1.94,2.0970
0.7230,2013-07-10,1.54,2.0830
0.7120,2013-07-09,0.57,2.0720
0.7080,2013-07-08,-2.48,2.0680
0.7260,2013-07-05,-0.82,2.0860
0.7320,2013-07-04,-0.54,2.0920
0.7360,2013-07-03,0.68,2.0960
0.7310,2013-07-02,1.39,2.0910
0.7210,2013-07-01,2.85,2.0810
0.7010,2013-06-30,0.00,2.0610
0.7010,2013-06-28,0.86,2.0610
0.6950,2013-06-27,-1.00,2.0550
0.7020,2013-06-26,3.39,2.0620
0.6790,2013-06-25,0.30,2.0390
0.6770,2013-06-24,-4.38,2.0370
0.7080,2013-06-21,-0.28,2.0680
0.7100,2013-06-20,-2.87,2.0700
0.7310,2013-06-19,-0.54,2.0910
0.7350,2013-06-18,0.00,2.0950
0.7350,2013-06-17,0.27,2.0950
0.7330,2013-06-14,2.37,2.0930
0.7160,2013-06-13,-1.92,2.0760
0.7300,2013-06-07,-0.41,2.0900
0.7330,2013-06-06,-1.21,2.0930
0.7420,2013-06-05,0.68,2.1020
0.7370,2013-06-04,-2.64,2.0970
0.7570,2013-06-03,-1.30,2.1170
0.7670,2013-05-31,-1.41,2.1270
0.7780,2013-05-30,0.00,2.1380
0.7780,2013-05-29,0.39,2.1380
0.7750,2013-05-28,-0.90,2.1350
0.7820,2013-05-27,1.30,2.1420
0.7720,2013-05-24,1.85,2.1320
0.7580,2013-05-23,-0.26,2.1180
0.7600,2013-05-22,-2.31,2.1200
0.7780,2013-05-21,1.04,2.1380
0.7700,2013-05-20,1.85,2.1300
0.7560,2013-05-17,1.34,2.1160
0.7460,2013-05-16,0.81,2.1060
0.7400,2013-05-15,2.07,2.1000
0.7250,2013-05-14,-1.09,2.0850
0.7330,2013-05-13,0.00,2.0930
0.7330,2013-05-10,-0.81,2.0930
0.7390,2013-05-09,-0.14,2.0990
0.7400,2013-05-08,1.37,2.1000
0.7300,2013-05-07,-0.55,2.0900
0.7340,2013-05-06,1.24,2.0940
0.7250,2013-05-03,1.97,2.0850
0.7110,2013-05-02,2.45,2.0710
0.6940,2013-04-26,-1.70,2.0540
0.7060,2013-04-25,-1.81,2.0660
0.7190,2013-04-24,2.57,2.0790
0.7010,2013-04-23,-2.10,2.0610
0.7160,2013-04-22,1.70,2.0760
0.7040,2013-04-19,1.73,2.0640
0.6920,2013-04-18,0.14,2.0520
0.6910,2013-04-17,1.92,2.0510
0.6780,2013-04-16,1.19,2.0380
0.6700,2013-04-15,-0.59,2.0300
0.6740,2013-04-12,-0.30,2.0340
0.6760,2013-04-11,0.15,2.0360
0.6750,2013-04-10,-0.59,2.0350
0.6790,2013-04-09,0.74,2.0390
0.6740,2013-04-08,1.97,2.0340
0.6610,2013-04-03,-1.20,2.0210
0.6690,2013-04-02,-2.62,2.0290
0.6870,2013-04-01,1.18,2.0470
0.6790,2013-03-29,0.15,2.0390
0.6780,2013-03-28,-1.74,2.0380
0.6900,2013-03-27,0.44,2.0500
0.6870,2013-03-26,0.15,2.0470
0.6860,2013-03-25,0.00,2.0460
0.6860,2013-03-22,-0.29,2.0460
0.6880,2013-03-21,1.33,2.0480
0.6790,2013-03-20,2.26,2.0390
0.6640,2013-03-19,-0.15,2.0240
0.6650,2013-03-18,-0.45,2.0250
0.6680,2013-03-15,0.75,2.0280
0.6630,2013-03-14,1.53,2.0230
0.6530,2013-03-13,-0.91,2.0130
0.6590,2013-03-12,-2.23,2.0190
0.6740,2013-03-11,0.60,2.0340
0.6700,2013-03-08,-1.33,2.0300
0.6790,2013-03-07,-1.59,2.0390
0.6900,2013-03-06,1.17,2.0500
0.6820,2013-03-05,2.25,2.0420
0.6670,2013-03-04,-3.47,2.0270
0.6910,2013-03-01,1.32,2.0510
